home,score,away,result,home_score,away_score,goal_goal,over_1,over_2,over_3,over_4,home_odd,draw_odd,away_odd
SOU,1-2,WAT,0,1,2,1,1,1,0,0,2.31,2.98,3.56
SWA,0-1,BRI,0,0,1,0,0,0,0,0,1.96,3.29,4.25
WBA,5-0,BOU,3,5,0,0,1,1,1,1,2.24,3.07,3.59
EVE,1-0,MNC,3,1,0,0,0,0,0,0,1.70,3.60,5.38
ARS,2-1,MNU,3,2,1,1,1,1,0,0,2.43,3.24,3.02
CRY,0-0,CHE,1,0,0,0,0,0,0,0,1.57,3.96,6.26
LEI,1-0,NWC,3,1,0,0,0,0,0,0,1.56,4.05,6.24
STC,0-3,LIV,0,0,3,0,1,1,0,0,2.06,3.22,3.95
WHU,1-2,BUR,0,1,2,1,1,1,0,0,1.86,3.42,4.52
HUD,2-2,TOT,1,2,2,1,1,1,1,0,4.39,3.33,1.92
BOU,0-1,SOU,0,0,1,0,0,0,0,0,1.56,4.05,6.24
MNU,3-0,WBA,3,3,0,0,1,1,0,0,4.88,3.34,1.83
NWC,1-1,WHU,1,1,1,1,1,0,0,0,3.02,3.19,2.46
WAT,1-3,LEI,0,1,3,1,1,1,1,0,2.31,2.98,3.56
TOT,1-1,LIV,1,1,1,1,1,0,0,0,2.43,3.24,3.02
CHE,0-3,ARS,0,0,3,0,1,1,0,0,2.43,3.24,3.02
MNC,0-0,STC,1,0,0,0,0,0,0,0,3.71,3.08,2.20
BUR,2-1,SWA,3,2,1,1,1,1,0,0,3.85,3.17,2.11
HUD,0-2,CRY,0,0,2,0,1,0,0,0,2.44,3.24,3.02
BRI,1-3,EVE,0,1,3,1,1,1,1,0,1.66,3.63,5.82
SWA,1-1,NWC,1,1,1,1,1,0,0,0,2.24,3.07,3.59
STC,1-2,BRI,0,1,2,1,1,1,0,0,2.88,3.15,2.60
ARS,2-1,HUD,3,2,1,1,1,1,0,0,1.37,4.87,8.61
SOU,1-0,MNU,3,1,0,0,0,0,0,0,1.85,3.47,4.51
WBA,0-0,CHE,1,0,0,0,0,0,0,0,1.37,4.87,8.61
CRY,2-2,TOT,1,2,2,1,1,1,1,0,3.54,3.00,2.30
LEI,2-3,BOU,0,2,3,1,1,1,1,1,1.56,4.05,6.24
LIV,1-0,MNC,3,1,0,0,0,0,0,0,1.85,3.47,4.51
EVE,0-1,BUR,0,0,1,0,0,0,0,0,2.39,3.20,3.14
WHU,1-3,WAT,0,1,3,1,1,1,1,0,1.95,3.32,4.25
WAT,2-1,SWA,3,2,1,1,1,1,0,0,3.55,2.99,2.31
BUR,1-0,STC,3,1,0,0,0,0,0,0,2.44,3.24,3.02
NWC,2-2,EVE,1,2,2,1,1,1,1,0,1.47,4.37,7.20
MNU,2-2,LEI,1,2,2,1,1,1,1,0,1.85,3.47,4.51
HUD,1-0,WBA,3,1,0,0,0,0,0,0,2.24,3.07,3.59
CRY,3-2,ARS,3,3,2,1,1,1,1,1,1.57,3.96,6.26
BRI,2-0,LIV,3,2,0,0,1,0,0,0,1.66,3.64,5.82
BOU,0-1,WHU,0,0,1,0,0,0,0,0,3.02,3.19,2.46
